invasion_status02,plot_id,invasion,distance,Latitude_gcjTogps,Longitude_gcjTogps,elevation_m,soil_moist,local_coverage_perc,local_no.plants,local_aboveground_mass,local_vegetative_mass,local_sexual_organ_mass,evenness,richness,simpson_index,Sample_Name,X16s_chao1,X16s_dominance,X16s_goods_coverage,X16s_observed_features,X16s_pielou_e,X16s_shannon,X16s_simpson,its_chao1,its_dominance,its_goods_coverage,its_observed_features,its_pielou_e,its_shannon,its_simpson,totalC,totalN,totalK,totalP
invasive,10_1,ap,1m,28.37380338,119.8164209,60,9.83,10,15,6.81,4.0009,2.8091,0.996791632,2,0.497777778,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
native,10_1,ap,1m,28.37380338,119.8164209,60,9.83,56.6,113,66.9213,65.9034,1.0179,0.612252098,8,0.599420471,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
non_invasive,10_1,ap,1m,28.37380338,119.8164209,60,9.83,19,44,11.0196,9.5858,1.4338,0.979497238,5,0.786157025,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
invasive,10_2,ap,5m,28.37384539,119.8164309,60,11.46,8.5,13,34.0214,33.8741,0.1473,0.895640306,3,0.591715976,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
native,10_2,ap,5m,28.37384539,119.8164309,60,11.46,66.5,175,40.4867,28.0091,12.4776,0.824993238,9,0.81195102,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
non_invasive,10_2,ap,5m,28.37384539,119.8164309,60,11.46,14.7,33,6.5257,6.5257,0,0.648017548,3,0.438934803,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
invasive,10_3,non_ap,1m,28.3739884,119.8164509,60,8.6,18,11,10.93843,10.93843,0,0.945660305,2,0.462809917,NC10,3228.997,0.004,0.994,3116,0.868,10.078,0.996,1389.758,0.131,0.995,1253,0.529,5.446,0.869,13.27945027,1.24670917,26.54440154,0.307416956
native,10_3,non_ap,1m,28.3739884,119.8164509,60,8.6,100,132,5.8701,5.0184,0.8517,0.556637152,4,0.514921947,NC10,3228.997,0.004,0.994,3116,0.868,10.078,0.996,1389.758,0.131,0.995,1253,0.529,5.446,0.869,13.27945027,1.24670917,26.54440154,0.307416956
invasive,10_4,non_ap,5m,28.37386076,119.8166315,60,8.6,35,38,7.8461,7.8461,0,0.485460761,2,0.188365651,NA10,3871.846,0.001,0.992,3733,0.903,10.715,0.999,1277.366,0.116,0.996,1155,0.547,5.562,0.884,8.008710773,0.738693882,25.71926765,0.549393781
native,10_4,non_ap,5m,28.37386076,119.8166315,60,8.6,30,1,53.9578,35.5916,18.3662,NA,1,NA,NA10,3871.846,0.001,0.992,3733,0.903,10.715,0.999,1277.366,0.116,0.996,1155,0.547,5.562,0.884,8.008710773,0.738693882,25.71926765,0.549393781
