term,df,R Sum Sq,R Mean Sq,Iter,Pr(Prob),variable,invasion_status02
invasion,1,6192.64568790729,6192.64568790729,53,0.660377358490566,local_aboveground_mass,community
distance,1,146.28184751760776,146.28184751760776,51,0.9803921568627451,local_aboveground_mass,community
invasion:distance,1,2491.621524866397,2491.621524866397,152,0.40131578947368424,local_aboveground_mass,community
Residuals,36,169289.2476753508,4702.479102093078,NA,NA,local_aboveground_mass,community
invasion,1,960.3999999999976,960.3999999999976,60,0.6333333333333333,local_no.plants,community
distance,1,17556.099999999966,17556.099999999966,340,0.22941176470588234,local_no.plants,community
invasion:distance,1,20430.40000000005,20430.40000000005,515,0.16310679611650486,local_no.plants,community
Residuals,36,361016.2,10028.227777777778,NA,NA,local_no.plants,community
invasion,1,9809.424,9809.424,5000,0,local_coverage_perc,community
distance,1,43.68099999999938,43.68099999999938,51,0.7647058823529411,local_coverage_perc,community
invasion:distance,1,204.30400000000282,204.30400000000282,168,0.375,local_coverage_perc,community
Residuals,36,12865.842000000008,357.38450000000023,NA,NA,local_coverage_perc,community
invasion,1,87.02499999999998,87.02499999999998,5000,0.0012,richness,community
distance,1,5.624999999999971,5.624999999999971,116,0.46551724137931033,richness,community
invasion:distance,1,0.6250000000000108,0.6250000000000108,96,0.5104166666666666,richness,community
Residuals,36,288.09999999999957,8.002777777777766,NA,NA,richness,community
invasion,1,0.15323841820481926,0.15323841820481926,5000,0.016,evenness,community
distance,1,0.007786257098421002,0.007786257098421002,51,0.6666666666666666,evenness,community
invasion:distance,1,0.005686308766210996,0.005686308766210996,88,0.5340909090909091,evenness,community
Residuals,36,0.8287520979380205,0.023020891609389457,NA,NA,evenness,community
invasion,1,0.2531114892779152,0.2531114892779152,5000,0.0046,simpson_index,community
distance,1,6.462204659090113e-4,6.462204659090113e-4,51,0.9215686274509803,simpson_index,community
invasion:distance,1,2.3499392517733873e-4,2.3499392517733873e-4,51,0.8627450980392157,simpson_index,community
Residuals,36,0.9575492027285089,0.0265985889646808,NA,NA,simpson_index,community
invasion,1,108784.89999999994,108784.89999999994,140,0.42142857142857143,its_observed_features,community
distance,1,8065.599999999833,8065.599999999833,69,0.5942028985507246,its_observed_features,community
invasion:distance,1,41088.100000000515,41088.100000000515,51,0.7450980392156863,its_observed_features,community
Residuals,36,4945916.999999999,137386.5833333333,NA,NA,its_observed_features,community
invasion,1,0.005405625000000001,0.005405625000000001,708,0.12429378531073447,its_pielou_e,community
