term,df,R Sum Sq,R Mean Sq,Iter,Pr(Prob),variable,invasion_status02
soil_moist,1,3078.431698612252,3078.431698612252,51,0.9803921568627451,local_aboveground_mass,community
totalC,1,6405.843457486911,6405.843457486911,189,0.3492063492063492,local_aboveground_mass,community
totalN,1,6911.34750228568,6911.34750228568,385,0.2077922077922078,local_aboveground_mass,community
totalP,1,6507.766876882137,6507.766876882137,395,0.20253164556962025,local_aboveground_mass,community
totalK,1,5266.824765181197,5266.824765181197,218,0.3165137614678899,local_aboveground_mass,community
invasion,1,6143.8305839766435,6143.8305839766435,51,0.7843137254901961,local_aboveground_mass,community
distance,1,691.6231087987894,691.6231087987894,51,0.7254901960784313,local_aboveground_mass,community
invasion:distance,1,4176.866937730531,4176.866937730531,179,0.36312849162011174,local_aboveground_mass,community
Residuals,31,149175.2998005171,4812.106445177971,NA,NA,local_aboveground_mass,community
soil_moist,1,3042.939306539028,3042.939306539028,135,0.42962962962962964,local_no.plants,community
totalC,1,28642.423378368025,28642.423378368025,2327,0.041254834550923936,local_no.plants,community
totalN,1,20103.824391958784,20103.824391958784,903,0.10077519379844961,local_no.plants,community
totalP,1,461.3795514531205,461.3795514531205,51,1,local_no.plants,community
totalK,1,83086.85297337423,83086.85297337423,5000,0.0022,local_no.plants,community
invasion,1,2748.939498598047,2748.939498598047,72,0.5833333333333334,local_no.plants,community
distance,1,2992.211992747184,2992.211992747184,66,0.6060606060606061,local_no.plants,community
invasion:distance,1,39576.4782077961,39576.4782077961,3300,0.029696969696969697,local_no.plants,community
Residuals,31,252022.82572573234,8129.7685717978175,NA,NA,local_no.plants,community
soil_moist,1,757.9332950362921,757.9332950362921,706,0.12464589235127478,local_coverage_perc,community
totalC,1,164.96278690425285,164.96278690425285,103,0.49514563106796117,local_coverage_perc,community
totalN,1,51.105281446463174,51.105281446463174,58,0.6379310344827587,local_coverage_perc,community
totalP,1,10.289642581046595,10.289642581046595,51,0.7450980392156863,local_coverage_perc,community
totalK,1,1870.1033074021484,1870.1033074021484,5000,0.018,local_coverage_perc,community
invasion,1,9271.766758718963,9271.766758718963,5000,0,local_coverage_perc,community
distance,1,78.88576516462938,78.88576516462938,51,0.7254901960784313,local_coverage_perc,community
invasion:distance,1,456.2958379201285,456.2958379201285,574,0.14982578397212543,local_coverage_perc,community
Residuals,31,9581.679924506709,309.08644917763576,NA,NA,local_coverage_perc,community
soil_moist,1,5.078886700693479,5.078886700693479,51,0.803921568627451,richness,community
totalC,1,7.091302307612385,7.091302307612385,295,0.2542372881355932,richness,community
totalN,1,3.988002510682003,3.988002510682003,137,0.4233576642335766,richness,community
totalP,1,4.0872179446533865,4.0872179446533865,51,0.7058823529411765,richness,community
totalK,1,17.638574802245024,17.638574802245024,578,0.14878892733564014,richness,community
invasion,1,66.35158870973638,66.35158870973638,5000,0.0096,richness,community
distance,1,0.09393390019104954,0.09393390019104954,51,0.9803921568627451,richness,community
invasion:distance,1,2.7195836525691144,2.7195836525691144,131,0.4351145038167939,richness,community
Residuals,31,240.36264125475626,7.753633588863105,NA,NA,richness,community
soil_moist,1,0.02592557986908424,0.02592557986908424,252,0.2857142857142857,evenness,community
totalC,1,0.07140273041330895,0.07140273041330895,1515,0.062046204620462043,evenness,community
totalN,1,0.12095794981537925,0.12095794981537925,4762,0.020579588408231837,evenness,community
totalP,1,0.06447244255142902,0.06447244255142902,593,0.14502529510961215,evenness,community
totalK,1,0.0023503132695183128,0.0023503132695183128,55,0.6545454545454545,evenness,community
invasion,1,0.09697728053584173,0.09697728053584173,3149,0.03080342966020959,evenness,community
distance,1,0.023823059810078567,0.023823059810078567,66,0.6060606060606061,evenness,community
invasion:distance,1,0.021283488798412107,0.021283488798412107,116,0.46551724137931033,evenness,community
Residuals,31,0.6050982026710295,0.019519296860355792,NA,NA,evenness,community
soil_moist,1,0.04331618697749391,0.04331618697749391,684,0.1286549707602339,simpson_index,community
totalC,1,0.0997599994166665,0.0997599994166665,3213,0.030189853719265483,simpson_index,community
totalN,1,0.14960642290500314,0.14960642290500314,5000,0.0186,simpson_index,community
totalP,1,0.11857531152921255,0.11857531152921255,1103,0.08340888485947416,simpson_index,community
totalK,1,0.016306343651518684,0.016306343651518684,138,0.42028985507246375,simpson_index,community
invasion,1,0.15736664589815552,0.15736664589815552,5000,0.0126,simpson_index,community
distance,1,0.017190968926988827,0.017190968926988827,61,0.6229508196721312,simpson_index,community
invasion:distance,1,0.004718966113258024,0.004718966113258024,51,0.6862745098039216,simpson_index,community
Residuals,31,0.700205558875052,0.02258727609274361,NA,NA,simpson_index,community
soil_moist,1,72448.97531771439,72448.97531771439,111,0.4774774774774775,its_observed_features,community
totalC,1,178586.42698475195,178586.42698475195,227,0.30837004405286345,its_observed_features,community
totalN,1,112512.57839554152,112512.57839554152,102,0.5,its_observed_features,community
totalP,1,12746.583960786113,12746.583960786113,51,0.6666666666666666,its_observed_features,community
totalK,1,381881.4962489912,381881.4962489912,1262,0.07369255150554675,its_observed_features,community
